Razor Hair,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hair Straightner And,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fast Hair,2,4,285,67,10,46,99,322,9,29,36,17,5,0,2,1,2,0,0,0,0,0,157,"2,899","1,200",420,699,450,350,875,"1,150",499
Mini Hair Straightner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Straightner And,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hair Straightener,10,8,1150,56,410,1537,39,450,157,343,70,46,13,4,5,16,5,2,0,0,0,0,"1,089",475,"1,999",499,455,"1,275",799,420,423,420
And Straightener,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skin Therapy Micro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Silicone Nose,25,2,490,67,11,31,2,2,2,2,34,0,5,0,4,1,0,0,0,0,0,0,136,140,76,74,59,59,69,122,245,80
Therapy Micro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Painless Hair Remover,1,10,358,65,401,126,69,871,100,106,58,63,10,8,26,0,0,0,0,0,0,0,66,375,98,675,375,375,339,349,799,799
Rechargeable Flawless,0,7,126,69,58,63,85,78,9,16,6,104,7,17,0,0,0,0,10,0,0,0,675,375,799,799,785,532,749,713,525,612
Electric Cleanser,0,4,38,121,609,18,66,337,5,25,8,1,4,0,0,0,0,0,0,0,0,0,405,379,375,379,401,375,375,"1,099",425,345
Hair Roller,3,1,25,122,20,35,19,45,20,4,14,20,0,0,0,0,0,0,0,0,0,0,"1,609",743,199,156,"1,999","1,649",170,"1,800",369,"1,950"
Painless Hair,5,10,65,69,871,58,63,85,203,158,56,185,8,75,0,0,0,0,0,0,0,0,375,375,375,799,799,785,330,"5,159",320,"1,255"
Eyebrow Razor,11,8,358,83,401,109,131,86,37,39,350,109,0,0,0,0,0,0,0,0,0,0,66,65,98,92,98,100,85,57,94,100
Straightner And Straightener,0,5,56,410,1537,39,450,20,343,14,6,11,0,0,0,2,0,0,0,0,0,0,475,"1,999",499,455,"1,275",712,420,409,426,599
Hair Straightner,0,9,1150,56,410,1537,39,189,206,450,157,131,0,0,0,0,2,0,0,0,0,0,"1,089",475,"1,999",499,455,799,420,"1,275",799,725
Skin Therapy,1,3,69,43,28,19,41,69,28,11,64,43,0,2,0,0,0,0,0,0,0,0,239,251,199,209,270,213,339,191,435,195
